algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
FD-Hash,pass,1000,1100,1100,1000,5,2,0.1,4,1,100,4,0.018448599992552772,0.0008430000161752105,0.019447200000286102,0.5696182250976562,28.44140625,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,5,3,0.1,4,1,100,4,0.017572400014614686,0.000880700012203306,0.01858689999789931,0.5696182250976562,28.44140625,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,5,4,0.1,4,1,100,4,0.017596100020455196,0.000883800006704405,0.018609599996125326,0.5696182250976562,28.4453125,0.5696182250976562,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,5,0,0.1,4,1,100,1,0.002303699991898611,0.0004718000127468258,0.0028707999736070633,0.12084197998046875,28.5390625,0.12084197998046875,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,5,1,0.1,4,1,100,1,0.002005499991355464,0.0004833999846596271,0.0025790000217966735,0.12088775634765625,28.5390625,0.12088775634765625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,5,2,0.1,4,1,100,1,0.0020035000052303076,0.0004406999796628952,0.002541699999710545,0.12088775634765625,28.5390625,0.12088775634765625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,5,3,0.1,4,1,100,1,0.0019896000158041716,0.0005133000086061656,0.002585600013844669,0.12088775634765625,28.5390625,0.12088775634765625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,5,4,0.1,4,1,100,1,0.0020488000009208918,0.00046040001325309277,0.002604499983135611,0.12088775634765625,28.5390625,0.12088775634765625,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,1,0,0.1,4,1,1000,0,0.0,52.37999640000635,52.58397680000053,2.657541275024414,31.68359375,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,1,1,0.1,4,1,1000,0,0.0,66.79150130000198,67.00785579998046,2.657541275024414,31.85546875,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,1,2,0.1,4,1,1000,0,0.0,50.773832100006985,50.97751349999453,2.657541275024414,31.73046875,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,1,3,0.1,4,1,1000,0,0.0,50.12646909998148,50.35091839998495,2.657541275024414,31.9765625,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,1,4,0.1,4,1,1000,0,0.0,48.40524580000783,48.59821309999097,2.657541275024414,31.51171875,2.657541275024414,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,1,0,0.1,4,1,1000,4,0.16808420000597835,0.009540200000628829,0.1789695000043139,5.6417236328125,34.7109375,5.6417236328125,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,1,1,0.1,4,1,1000,4,0.1684032000193838,0.009514600009424612,0.1791903999983333,5.641792297363281,35.77734375,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,1,2,0.1,4,1,1000,4,0.17455220001284033,0.009856899996520951,0.18617599998833612,5.641792297363281,35.8515625,5.641792297363281,True,False,68869e6
